state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,excessive_drinking_raw_value,motor_vehicle_crash_deaths_raw_value,chlamydia_rate_raw_value,teen_births_raw_value,uninsured_adults_raw_value,preventable_hospital_stays_raw_value,diabetes_monitoring_raw_value,hospice_use_raw_value,high_school_graduation_raw_value,college_degrees_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,inadequate_social_support_raw_value,single-parent_households_raw_value,violent_crime_raw_value,homicides_raw_value,air_pollution-particulate_matter_days_raw_value,air_pollution-ozone_days_raw_value,access_to_healthy_foods_raw_value,liquor_store_density_raw_value,smoking_during_pregnancy_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,no_recent_dental_visit_raw_value,did_not_get_needed_health_care_raw_value,lead_poisoned_children_(wi)_raw_value,municipal_water_(wi)_raw_value,contaminants_in_municipal_water_(wi)_raw_value
IN,Howard County,7889.2,0.147,3.7,3.48,0.0793,0.2311,0.283,0.0871,15.7,261.5,57.6,0.11,76.19345893,0.8381,0.193752743,0.733394834,0.179561281,0.079,0.19,41.4,0.2226,0.108525791,,6.1,10,2,0.444444444,1.549943964,,,,,,,,,
IN,Huntington County,6523.6,0.1587,3.94,4.1,0.0749,0.2601,0.304,0.1816,17.3,92,33.9,0.135,76.31029164,0.8593,0.326823213,0.766283525,0.16277595,0.067,0.136,38.1,0.215,0.07835123,,1.9,8,7,0.2,1.584158416,,,,,,,,,
IN,Jackson County,8498,0.2052,4.31,3.4,0.0806,0.2736,0.302,0.1679,16.1,242.9,65.4,0.157,69.97530924,0.7806,0.268699721,0.752830189,0.130870117,0.053,0.175,38.7,,0.071273155,,2.4,5,9,0.222222222,1.664605726,,,,,,,,,
IN,Jasper County,8428.1,0.1553,4.44,4.13,0.0617,,0.286,0.1212,19.5,120.8,34.9,0.152,86.24759946,0.8293,0.286112421,0.752043597,0.161432561,0.058,0.112,36.1,0.1697,0.077019359,,2.8,4,1,0.666666667,0.942092702,,,,,,,,,
IN,Jay County,8810.1,0.2108,4.11,3.13,0.0814,0.2135,0.306,0.0623,25.2,87.9,48.8,0.147,95.75841583,0.8014,0.307446549,0.682142857,0.110476058,0.059,0.191,39.3,0.2146,0.100865237,,1.3,13,2,0.5,1.398145128,,,,,,,,,
IN,Jefferson County,7842.2,0.1985,4.09,5.27,0.0691,0.3038,0.313,0.1681,16,211.2,40.3,0.152,91.88966195,0.806,0.240383525,0.689922481,0.179589163,0.059,0.189,43.3,,0.101583747,,1.8,2,3,0.6,2.139364303,,,,,,,,,
IN,Jennings County,9337,0.2004,4.77,5.33,0.0718,0.3361,0.297,0.1604,22,182.6,78.7,0.131,90.01587974,0.8536,0.358016808,0.601522843,0.084123159,0.071,0.173,34.8,,0.125793719,,3.1,5,3,0.142857143,0.715026277,,,,,,,,,
IN,Johnson County,6377.5,0.1677,3.75,3.75,0.0669,0.2702,0.276,0.1394,11.9,180.8,34.3,0.117,78.05157082,0.8056,0.287493436,0.805571677,0.24842687,0.047,0.094,38.9,0.2203,0.090045978,,2.3,19,4,0.555555556,1.055830826,,,,,,,,,
IN,Knox County,9389.3,0.1736,3.46,3.89,0.0816,0.3056,0.285,0.1571,19.3,190.9,37.8,0.14,90.65917975,0.7791,0.264326054,0.778508772,0.145234067,0.051,0.244,47,0.1603,0.103070903,,1.9,11,0,0.166666667,1.313508118,,,,,,,,,
IN,Kosciusko County,7186.2,0.1549,3.13,3.29,0.0661,0.2701,0.289,0.104,22.1,104.5,49.8,0.175,70.63233366,0.8391,0.246394571,0.752879581,0.184831562,0.067,0.119,40.2,0.187,0.09452753,,1.7,9,4,0.333333333,0.923348854,,,,,,,,,
IN,Lagrange County,5613.9,0.171,3.65,3.23,0.055,0.2679,0.278,0.1343,23.1,83.1,35.8,0.159,77.08826913,0.8021,0.302002998,0.738359202,0.080412371,0.084,0.139,36.8,0.187,0.047288933,,1.6,10,5,0.5,1.362657728,,,,,,,,,
IN,Lake County,9685.7,0.1775,3.51,3.47,0.0927,0.2803,0.323,0.1668,14.1,417.2,48.8,0.141,100.141504,0.6959,0.308065459,0.690966222,0.1818422,0.062,0.237,42.7,0.228,0.121755837,,19.8,15,20,0.6875,1.694136858,,,,,,,,,
IN,La Porte County,8628.9,0.1462,3.44,3.69,0.0829,0.2561,0.295,0.1795,21.6,252.5,54.1,0.149,84.55405898,0.7978,0.278365495,0.694143167,0.163848964,0.062,0.212,40.4,0.1888,0.104259606,,5.5,6,14,0.230769231,1.189626457,,,,,,,,,
IN,Lawrence County,8886.8,0.2001,3.46,4.37,0.0736,0.2487,0.292,0.0943,18,116.3,57.3,0.135,101.9592574,0.8164,0.187197594,0.703703704,0.117162742,0.082,0.18,41.6,0.2305,0.094022117,,3.1,3,0,0.2,1.307417415,,,,,,,,,
IN,Madison County,8632.1,0.2043,4.1,5.05,0.0869,0.3119,0.304,0.1322,17.2,392.9,51.1,0.117,90.44775998,0.8153,0.258521172,0.663390663,0.161598378,0.07,0.226,40.5,0.215,0.104899595,,3.4,10,10,0.588235294,2.210450093,,,,,,,,,
IN,Marion County,9299.5,0.1739,3.59,3.77,0.0895,0.2629,0.285,0.1687,11.9,826.9,68.6,0.141,69.26916696,0.777,0.347673321,0.616085423,0.267240985,0.056,0.228,44.8,0.2212,0.126626474,,13.4,22,17,0.5,1.672420864,,,,,,,,,
IN,Marshall County,6477.1,0.1198,3.23,2.49,0.0643,0.2382,0.283,0.1261,23.4,44.4,46.4,0.181,67.59209714,0.8291,0.239208618,0.798347107,0.170607662,0.074,0.128,39.2,0.1685,0.071797613,,2.5,7,3,0.444444444,0.857485852,,,,,,,,,
IN,Martin County,11186.3,0.1498,4.61,2.96,0.089,0.2303,0.292,0.1097,37.7,67.7,46.6,0.142,87.71204936,0.8065,0.132638298,0.844594595,0.101732452,0.048,0.171,40,,0.081225153,,7,5,0,0.666666667,1.969861125,,,,,,,,,
IN,Miami County,8096.4,0.1438,3.8,3.93,0.0657,0.3315,0.276,0.1627,23.4,118.1,50.8,0.126,82.52565236,0.8386,0.201447505,0.734406439,0.116459319,0.08,0.172,38.6,0.1864,0.082837597,,2.7,10,1,0.4,0.811820101,,,,,,,,,
IN,Monroe County,6356.3,0.136,3.54,4.14,0.0689,0.2229,0.261,0.201,8.1,309.9,13.8,0.236,45.35829006,0.8403,0.301311201,0.771235521,0.396907726,0.045,0.179,50,0.1947,0.077030242,,2.2,5,0,0.3125,0.942610718,,,,,,,,,
IN,Montgomery County,8106,0.1631,3.94,4.16,0.0751,0.2986,0.296,0.1158,26.9,214.8,56.2,0.13,88.03675819,0.7953,0.111776948,0.773333333,0.171943729,0.049,0.159,36.3,0.2416,0.072661773,,1.5,6,0,0.117647059,1.060501617,,,,,,,,,
IN,Morgan County,7229.1,0.1539,3.26,3.71,0.0827,0.2674,0.292,0.1532,22.6,176.4,42.8,0.142,101.5799531,0.8286,0.325952155,0.822120867,0.144553433,0.058,0.126,37.2,0.1915,0.074800465,,3.6,8,7,0.625,1.00567488,,,,,,,,,
IN,Newton County,9513.4,0.1917,2.93,2.74,0.0799,,0.288,0.1503,31.1,77,34.7,0.162,98.57539852,0.7712,0.311236516,0.725225225,0.109982844,0.062,0.127,38.4,,0.078137572,,1,4,1,0.555555556,1.427653651,,,,,,,,,
IN,Noble County,7818.7,0.1825,3.03,2.72,0.074,0.2415,0.298,0.1586,21.9,100.2,57.7,0.182,79.83025663,0.7857,0.265676387,0.727134146,0.134136782,0.083,0.14,35.1,0.2371,0.082920935,,0.9,10,5,0.4,1.262679406,,,,,,,,,
IN,Ohio County,7575.9,,,,0.0692,,0.283,,17.4,85.8,45.5,0.158,98.35079861,0.7667,0.299829356,0.802197802,0.131912943,0.062,0.128,40.8,,0.085964081,,0,1,5,1,1.713502399,,,,,,,,,
IN,Orange County,7532.4,0.277,4.66,4.56,0.0777,0.3431,0.295,0.0856,23.5,86.5,57.1,0.137,84.10752833,0.7757,0.191294542,0.757246377,0.11580793,0.061,0.219,45.1,,0.086478397,,3.7,3,0,0.75,2.053071909,,,,,,,,,
IN,Owen County,8548.1,0.1921,4.08,3.07,0.0736,0.3541,0.296,0.2071,19.2,101.1,49.9,0.165,69.01402932,0.8298,0.328157739,0.693277311,0.094803417,0.064,0.211,39.1,,0.07341863,,3.2,5,3,0.142857143,0.447968463,,,,,,,,,
IN,Parke County,8584.4,0.1807,4.69,3.15,0.0849,,0.286,0.094,26.4,76.4,38.8,0.153,97.48932861,0.7341,0.159188838,0.800925926,0.133963688,0.061,0.281,41.2,,0.085051671,,3.3,2,0,0.222222222,1.748863239,,,,,,,,,
IN,Perry County,8854.8,0.2159,4.91,4.2,0.094,0.2707,0.285,0.162,22.7,21.2,50.7,0.127,106.4273677,0.8084,0.183983729,0.770114943,0.109794308,0.051,0.16,40.5,0.2017,0.084040364,,5.3,10,18,0.125,1.062473438,,,,,,,,,
IN,Pike County,9703.4,0.2443,4.73,3.46,0.0956,0.1633,0.296,0.1514,30.3,101.1,50.2,0.149,98.00441219,0.8811,0.173965652,0.739130435,0.100437901,0.056,0.132,38.3,,0.083300644,,3.4,8,0,0.166666667,2.373605507,,,,,,,,,
IN,Porter County,6557.5,0.1317,3.41,3.6,0.0677,0.2594,0.286,0.1678,16.1,114.3,25.2,0.153,87.00651724,0.7611,0.430343423,0.846646943,0.24714371,0.048,0.117,41.7,0.1831,0.083098453,,2.2,8,16,0.5,1.074663852,,,,,,,,,
IN,Posey County,7551.6,0.1522,3.86,2.48,0.0667,0.2497,0.29,0.2333,17.6,119.6,27.5,0.124,96.67698923,0.7571,0.288681116,0.891246684,0.168103931,0.049,0.108,39.2,,0.066123622,,2.7,8,7,0.333333333,1.13757015,,,,,,,,,
IN,Pulaski County,8839.6,,4.22,3.32,0.0682,0.2606,0.291,0.1103,21.8,86.6,46.2,0.154,91.90969988,0.6634,0.169217666,0.822580645,0.11544218,0.057,0.165,39.6,,0.08262389,,1,5,2,0.4,1.451905626,,,,,,,,,
IN,Putnam County,6592.5,0.1413,2.41,2.6,0.0745,0.257,0.281,0.1025,15.3,148.7,37.8,0.16,91.4974077,0.8205,0.294581587,0.755027422,0.148494983,0.067,0.134,39.1,0.1531,0.088212088,,3.5,2,0,0.222222222,1.358215848,,,,,,,,,
IN,Randolph County,7630.8,0.2282,4.58,2.93,0.0783,0.2229,0.286,0.1075,19.3,158,53.7,0.158,90.02759125,0.7542,0.238112667,0.801020408,0.098205439,0.069,0.199,37.4,0.1921,0.098803229,,2.1,10,3,0.555555556,1.531980084,,,,,,,,,
IN,Ripley County,7500.3,0.138,2.91,2.77,0.0722,0.2728,0.281,0.1826,16.3,176.6,49.4,0.141,92.45485104,0.8012,0.249179572,0.761744966,0.136511975,0.06,0.127,41.7,0.2073,0.110502456,,0.5,7,4,0.636363636,1.458204222,,,,,,,,,
IN,Rush County,7140.1,,3.78,3.91,0.0858,0.2354,0.292,0.1075,22.3,124.4,50.6,0.142,125.9943856,0.7594,0.23431815,0.652542373,0.117983151,0.061,0.164,41,0.2084,0.081825424,,1.6,6,3,0.125,1.139341461,,,,,,,,,
IN,St. Joseph County,7635.6,0.1431,3.27,3.6,0.0798,0.2396,0.295,0.164,12.4,391.1,42.4,0.151,61.30681118,0.8014,0.313714012,0.67446874,0.257698988,0.066,0.201,44.5,0.2024,0.089963165,,7.1,7,13,0.517241379,0.790945557,,,,,,,,,
IN,Scott County,12403.3,0.2678,5.73,5.4,0.0892,0.2555,0.289,0.0832,28.1,223.6,72.4,0.126,125.9132935,0.7886,0.287173355,0.634920635,0.100988745,0.065,0.233,37.5,,0.125527752,,3.7,4,2,0.75,1.69369522,,,,,,,,,
IN,Shelby County,8330.4,0.189,4.71,3.73,0.0823,0.2962,0.299,0.1122,16.7,111.1,49.6,0.13,109.9543348,0.8069,0.35233729,0.728,0.139609068,0.058,0.138,44.1,0.1681,0.073788805,,1,9,10,0.5,0.915080527,,,,,,,,,
IN,Spencer County,7800.8,0.1602,3.51,2.93,0.0783,0.2532,0.29,0.1284,16.9,77.7,34.1,0.16,60.63215726,0.8708,,0.899371069,0.177945402,0.051,0.119,37.1,0.1865,0.064531664,,4.9,10,0,0.266666667,0.983525941,,,,,,,,,
IN,Starke County,11362.5,0.2196,4.85,5.88,0.073,0.351,0.288,,33.6,73.7,61.4,0.147,113.9213469,0.7661,0.168491235,0.672672673,0.098484368,0.079,0.217,41.8,,0.097171381,,5.5,6,5,0.333333333,0.425133917,,,,,,,,,
IN,Steuben County,6675.5,0.1789,3.38,4.64,0.0777,0.2911,0.292,0.2179,23.1,151.4,47.6,0.146,77.56512725,0.7901,0.249435238,0.786057692,0.182331932,0.074,0.163,41,0.1527,0.098581806,,2.6,9,4,0.666666667,1.490090896,,,,,,,,,
IN,Sullivan County,9851.8,0.209,4.32,3.84,0.0978,0.3374,0.279,0.0959,18.5,51.1,45.7,0.142,138.5197219,0.7585,0.18571502,0.743083004,0.124815659,0.067,0.194,39.9,,0.068361513,,3.3,4,0,0.272727273,0.936022839,,,,,,,,,
IN,Switzerland County,10108.5,0.2502,5.52,6.01,0.0738,,0.288,,25.7,174.9,41.9,0.169,114.6228494,0.7934,,0.604651163,0.08904482,0.05,0.232,43.6,,0.100985227,,1.5,1,5,0.2,0,,,,,,,,,
IN,Tippecanoe County,6618.7,0.1445,3.05,3.69,0.0656,0.2178,0.276,0.2039,11,344.5,22.9,0.231,63.87036717,0.8297,0.174044976,0.775757576,0.349954062,0.047,0.169,45.1,0.1396,0.102940689,,2.7,11,0,0.294117647,1.121788879,,,,,,,,,
IN,Tipton County,7091,0.1128,2.47,2.4,0.0725,0.1237,0.289,0.0938,16.6,91.6,36.8,0.122,105.1811436,0.7584,0.125460869,0.819742489,0.142030648,0.073,0.1,38.1,,0.074119854,,4.4,12,2,0.166666667,1.238313417,,,,,,,,,
IN,Union County,9439.1,,4.17,3.94,0.0589,,0.29,0.1148,29.7,137.2,45.1,0.176,83.78900348,0.7922,0.271583378,0.73553719,0.128409639,0.062,0.171,43.9,,0.081472961,,0,5,4,0.333333333,2.787068005,,,,,,,,,
IN,Vanderburgh County,8257.6,0.1783,4.01,4.24,0.0874,0.2802,0.273,0.1621,12.7,453.4,45.2,0.127,66.08700194,0.8094,0.33360381,0.735159817,0.212493765,0.052,0.2,45.5,0.2208,0.101690471,,5.3,10,15,0.162162162,1.263735948,,,,,,,,,
IN,Vermillion County,8376.1,0.2057,4.47,4.39,0.0721,,0.305,0.1673,35.5,108.1,40.1,0.132,120.3288076,0.8056,0.13957024,0.782608696,0.12743301,0.072,0.15,45.2,,0.084541207,,5.2,2,0,0.333333333,1.822821728,,,,,,,,,
