state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,mammography_screening_raw_value,flu_vaccinations_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value
CO,Summit County,3410.862274,0.108598035,3.051446691,3.366108187,0.125257732,0.13712538,0.159,8.3,0.108,1,0.223158958,0.263157895,340,14.59854015,0.110537229,0.00062122,0.000903022,0.002934821,1606,0.51,0.55,0.949541284,0.715092353,0.022227201,0.071,3.784423285,0.228497306,5.231322544,175.9766705,46.82543347,4.1,0,0.235717962
CO,Teller County,7155.261041,0.104755566,3.053066617,3.498868789,0.124600639,0.122943824,0.21,8.7,0.153,0.817301927,0.180699403,0.368421053,162.3,13.70786517,0.081806452,0.000486894,0.000518279,0.001594706,3628,0.33,0.39,0.831111111,0.71363439,0.037072168,0.125,4.076915282,0.274216191,9.737888501,242.0011136,86.27411942,5,1,0.142930328
CO,Washington County,9054.905988,0.129927537,3.426433694,3.727736282,0.072948328,0.135394302,0.318,7.3,0.299,0.437266307,0.179276818,0.214285714,81,21.14803625,0.096128171,0.000202511,0.000407415,0.000407415,2219,0.43,0.19,0.865384615,0.726137377,0.024186047,0.196,3.836926387,0.277075812,16.20089105,133.9515714,94.26615845,5.7,0,0.10723192
CO,Weld County,5794.042756,0.135647257,3.247384518,3.716405887,0.081241537,0.137483638,0.29,8.8,0.186,0.782616434,0.178969166,0.292517007,439.5,24.38719533,0.093993736,0.000489113,0.000451791,0.002545298,3197,0.43,0.5,0.84591195,0.627490777,0.030068365,0.132,3.89626424,0.22558728,6.302665831,272.7775432,73.0676353,8.6,1,0.153495834
CO,Yuma County,5556.838631,0.152682019,3.539862555,3.790789957,0.069486405,0.142778092,0.278,8.1,0.213,0.725181719,0.172081466,0.133333333,158.8,29.31745305,0.13419644,0.000496278,0.000399202,0.000998004,3649,0.41,0.14,0.848484849,0.628205128,0.020351677,0.166,4.119748272,0.302480563,13.89578164,4.900279316,75.17904483,5.9,0,0.09351621
CT,Connecticut,5673.931967,0.138007098,3.287349493,3.470515946,0.078181071,0.127309806,0.258,8.5,0.204,0.940192726,0.171107305,0.319971367,494.7,10.92910893,0.062717276,0.000831897,0.000850066,0.003932359,4117,0.48,0.53,0.879717603,0.689046006,0.041065694,0.138,5.072007913,0.319653279,9.489479915,232.0465727,68.14556585,8,1,0.181418232
CT,Fairfield County,4529.394379,0.105960302,2.64280014,3.044069817,0.075480838,0.10157896,0.213,8.7,0.177,0.968107466,0.194011891,0.293436293,401.2,8.968414447,0.088963201,0.000916918,0.0009292,0.003058836,3794,0.48,0.52,0.904086406,0.708720489,0.039555544,0.127,5.857134697,0.256805492,9.179710734,238.1370246,51.78158233,10,1,0.213149966
CT,Hartford County,6084.288208,0.130442159,3.036775317,3.680572032,0.08526195,0.11356248,0.262,8.2,0.216,0.968413246,0.156600042,0.336569579,586.1,13.86608732,0.054384862,0.000922505,0.001041787,0.005039784,4247,0.51,0.54,0.838150901,0.69477665,0.042430135,0.155,5.061459803,0.359254397,10.4200637,270.0447138,70.58087299,7.6,1,0.168430754
CT,Litchfield County,5932.976938,0.106787819,2.763619295,3.584259856,0.065327141,0.120631412,0.277,8.7,0.208,0.829302837,0.176349912,0.333333333,240.4,6.637458352,0.05125722,0.000625765,0.000662577,0.00250675,3635,0.47,0.54,0.888381877,0.680707242,0.038223475,0.081,4.157926794,0.233754752,10.59409256,106.295851,79.61025966,7.9,1,0.146959914
CT,Middlesex County,5466.110185,0.103772244,2.996640626,3.645793033,0.062836238,0.113164406,0.255,8.5,0.194,0.967605447,0.190825065,0.272727273,316.4,5.090888969,0.040905094,0.000709871,0.00076837,0.004235257,4402,0.48,0.56,0.963385678,0.761866541,0.035099594,0.081,4.460651346,0.273378406,10.52567162,109.7452878,76.97693258,8.6,1,0.140224178
CT,New Haven County,6218.776435,0.144427115,3.292322722,3.782170902,0.080582982,0.12843952,0.281,8,0.217,0.954136748,0.185541088,0.299168975,580.3,13.44076986,0.056898992,0.000878625,0.000768406,0.004373732,4231,0.45,0.53,0.858430527,0.658374029,0.04396977,0.167,5.124672309,0.373925126,8.588678982,328.6701448,75.1453147,8.4,1,0.201326248
CT,New London County,6399.783439,0.115462819,3.11679214,3.450754623,0.07285807,0.123508397,0.296,8,0.209,0.920709347,0.178460515,0.395683453,353.9,11.59750051,0.050066806,0.000643044,0.000723432,0.003819569,4332,0.46,0.5,0.890854314,0.664853169,0.039508813,0.125,4.533725309,0.360926024,9.552731449,283.1589262,77.71117642,7.8,1,0.150183668
CT,Tolland County,5008.425211,0.10470405,3.129038375,3.338427894,0.07076537,0.1054349,0.249,8.2,0.191,0.766056939,0.190501883,0.426666667,256.2,3.042635659,0.037413953,0.000501779,0.000503575,0.002338972,4029,0.52,0.58,0.914234756,0.753778059,0.035803882,0.064,4.278725762,0.237711069,7.064524861,,63.73241904,8.1,1,0.126065048
CT,Windham County,7089.698416,0.133851876,3.116533801,3.856381378,0.078997827,0.143569518,0.303,8.2,0.23,0.818590198,0.172325742,0.230769231,340.3,13.48026105,0.056040261,0.000455487,0.000487067,0.003315474,4763,0.47,0.54,0.826275739,0.620014758,0.045186517,0.148,4.435983576,0.355306639,9.453501663,,83.85506963,7.2,1,0.158947131
DE,Delaware,7777.261596,0.179946917,3.651560755,4.273029801,0.087245512,0.170300597,0.309,8.1,0.277,0.864701637,0.168261389,0.302980133,560.5,20.44904711,0.060792233,0.000718341,0.000465275,0.00262208,5045,0.48,0.54,0.869,0.617457607,0.03757371,0.176,4.397417403,0.369155208,10.31250422,499.0255229,76.48985675,9.3,0.666666667,0.148355121
DE,Kent County,7952.454872,0.18955716,4.095031317,4.679156558,0.091444452,0.168237595,0.354,7.9,0.312,0.668443103,0.165808905,0.290322581,686,20.895379,0.064075161,0.000463738,0.000397648,0.001764212,5870,0.49,0.53,0.900841632,0.595022056,0.041459731,0.196,4.096151628,0.397417288,8.935438628,448.1459906,76.62257728,9.3,1,0.15931767
DE,New Castle County,7701.203301,0.16799934,3.772634984,4.172025882,0.089138825,0.152425581,0.287,8.1,0.255,0.969398992,0.194388313,0.298611111,561.8,17.1127621,0.055958405,0.00083781,0.000584623,0.00320738,5189,0.46,0.54,0.876865957,0.648532021,0.036592342,0.155,4.551145141,0.358344448,10.48601894,551.2513694,75.24216778,10,0,0.144377237
DE,Sussex County,8084.788322,0.178137092,3.721060229,4.132734755,0.077896055,0.160850012,0.329,8.5,0.303,0.740312968,0.164332682,0.317708333,458.9,32.22828368,0.071545503,0.000621333,0.000226791,0.001857942,4463,0.49,0.55,0.885425085,0.534821976,0.037476524,0.216,4.043103448,0.373217923,10.82894702,406.1413998,79.54019231,9.2,1,0.149787132
DC,District of Columbia,8111.250945,0.130337937,2.885692334,3.562902972,0.099255733,0.159655922,0.235,8.6,0.184,1,0.273130182,0.288888889,1312.3,27.11591236,0.043005781,0.001174399,0.00118157,0.004845862,5520,0.35,0.38,0.723673126,0.811971788,0.05553496,0.245,7.218459442,0.52077048,28.74755754,1226.434877,78.35790464,9.7,0,0.21461245
DC,District of Columbia,8111.250945,0.130337937,2.885692334,3.562902972,0.099255733,0.159655922,0.235,8.6,0.184,1,0.273130182,0.288888889,1312.3,27.11591236,0.043005781,0.001174399,0.00118157,0.004845862,5520,0.35,0.38,0.723673126,0.811971788,0.05553496,0.245,7.218459442,0.52077048,28.74755754,1226.434877,78.35790464,9.7,0,0.21461245
FL,Florida,7259.686771,0.174774662,3.71563443,3.970320984,0.086506265,0.160923724,0.266,6.9,0.259,0.887399655,0.171292182,0.233358013,476.6,21.39904632,0.159543297,0.00072511,0.000590394,0.001607891,5086,0.43,0.43,0.823,0.627824991,0.035672412,0.2,4.659833384,0.377742791,7.094794228,484.427687,78.93986161,8.2,0.373134328,0.200730801
FL,Alachua County,6823.571376,0.176144496,4.125047736,4.476471755,0.098970625,0.163808521,0.267,6.6,0.235,0.87381942,0.186766071,0.264840183,820.8,12.91373469,0.118656696,0.001580856,0.001741025,0.006219532,5058,0.47,0.46,0.842179427,0.761809646,0.03271467,0.211,6.056989998,0.348785966,9.327799089,560.5409249,62.50284794,8.3,0,0.201380599
FL,Baker County,10068.40209,0.199332299,4.309210749,4.628516241,0.095178197,0.227319564,0.379,6.7,0.334,0.411174627,0.19230749,0.41025641,459.6,43.30775789,0.11966439,0.000353569,0.000387939,0.00098748,4966,0.38,0.4,0.814589666,0.409653638,0.033869745,0.217,4.466526853,0.301738473,6.364247074,465.6938839,78.36765213,8.4,0,0.118500605
FL,Bay County,9720.506831,0.197691328,4.392225638,4.816358762,0.082014031,0.227082045,0.291,6.8,0.306,0.680862531,0.176250275,0.225806452,446.7,37.60538606,0.148348605,0.000544772,0.000518115,0.00250962,5756,0.37,0.39,0.790368272,0.611948655,0.039753056,0.205,4.393029797,0.366828893,8.607399095,496.9112044,92.50703929,9.8,0,0.16875184
FL,Bradford County,10390.22385,0.225922657,4.999906441,4.857032346,0.111645813,0.229407378,0.366,7.4,0.332,0.652524544,0.185855412,0.333333333,392,45.57348452,0.132690999,0.00029588,0.000252416,0.000721189,7074,0.34,0.33,0.805309735,0.377269758,0.032820241,0.26,5.360571754,0.441843042,14.4241438,454.0810535,107.8876195,8.1,0,0.152785755
FL,Brevard County,8820.098366,0.176062592,4.140907272,4.532745888,0.078982118,0.168664123,0.296,7.1,0.268,0.883697477,0.187777392,0.220338983,353,18.50880122,0.13012914,0.000731548,0.000584738,0.001578289,4963,0.4,0.4,0.861231102,0.666387334,0.035240347,0.165,4.370505084,0.356287851,7.451261283,496.3152088,102.3835046,7.3,1,0.154050139
FL,Broward County,6339.052399,0.1778227,3.941548859,4.141937384,0.095103951,0.145937926,0.246,7.9,0.25,0.968792368,0.179221467,0.134841629,582.8,15.20761738,0.168923081,0.000733517,0.000748235,0.001741951,5286,0.36,0.35,0.813222047,0.672795085,0.033698703,0.173,4.767081639,0.393151519,5.522042195,397.7751913,64.82661834,6.6,0,0.247002184
FL,Calhoun County,10649.09825,0.242788507,4.887984158,4.772104959,0.080246914,0.223848855,0.364,7.2,0.409,0.200136752,0.173388141,0.166666667,531.7,42.69414796,0.152101006,0.000414279,0.000548434,0.000137108,7492,0.34,0.22,0.814102564,0.381430041,0.041125541,0.293,4.80779373,0.375731945,8.285576193,173.973556,78.63478969,9.7,0,0.116355653
FL,Charlotte County,8115.148586,0.156646287,4.023510703,4.534935394,0.086121095,0.157608057,0.279,7,0.262,0.805166961,0.164877784,0.293650794,174.1,22.26973098,0.171047154,0.000642741,0.000497303,0.001129742,4780,0.54,0.49,0.895509499,0.548687007,0.040096966,0.2,4.089861954,0.329896907,6.152730549,199.6902763,70.7936669,7.7,0,0.160572988
FL,Citrus County,11763.37031,0.177406366,4.28813463,4.908399439,0.081778266,0.195871561,0.293,6.8,0.348,0.733148772,0.152505467,0.231292517,236.2,29.93385047,0.154461981,0.000514944,0.0003042,0.00062192,4771,0.45,0.43,0.796444444,0.465392222,0.051988535,0.245,4.154249906,0.382902981,7.6898254,296.2685977,126.387898,8.1,0,0.146862266
FL,Clay County,7659.194049,0.176496468,4.253840775,4.641067687,0.081701732,0.198860048,0.321,7.8,0.284,0.883310193,0.211075331,0.333333333,378.8,18.46421421,0.113501488,0.000490034,0.00053223,0.000897849,4810,0.38,0.38,0.884182661,0.660455133,0.032810795,0.121,3.873583113,0.290786397,7.020685106,268.323544,81.79719294,8.6,0,0.142715349
FL,Collier County,5204.643879,0.177203594,3.593319426,3.886771512,0.070019068,0.144419099,0.213,8,0.232,0.914481214,0.181037479,0.240641711,289.9,20.34315378,0.228222065,0.00074823,0.000639386,0.001001353,3493,0.51,0.5,0.885570668,0.501649607,0.034372516,0.185,4.555148031,0.355588874,7.133662304,261.4558965,77.91127552,7.7,0,0.199467487
FL,Columbia County,10346.03331,0.229585612,5.076692168,4.91226647,0.102591222,0.232948153,0.359,7.1,0.369,0.674830818,0.166808969,0.316326531,497,41.40252015,0.123808979,0.000459691,0.000567352,0.00205665,8203,0.41,0.38,0.705882353,0.505625335,0.037440758,0.264,4.532600992,0.374949495,8.331896799,570.5549744,95.77019782,8.8,0,0.159765788
FL,DeSoto County,8281.410559,0.260886806,4.902714323,4.780620333,0.072754831,0.213119303,0.316,7.3,0.363,0.557541162,0.173932884,0.421875,282.1,44.68016715,0.230702584,0.000244154,0.000160047,0.001360399,5879,0.45,0.39,0.648387097,0.211423789,0.038409172,0.345,3.973622341,0.365224864,7.595898215,440.7791839,76.95672153,7.5,0,0.181260946
FL,Dixie County,10796.45977,0.244511159,4.938379406,5.191797907,0.092678406,0.246516505,0.342,7.3,0.449,0.347704299,0.186742965,0.625,521.8,41.79566564,0.158202411,5.99772E-05,5.98802E-05,5.98802E-05,5742,0.34,0.3,0.894736842,0.319816167,0.04226572,0.311,4.449322597,0.442098093,7.197265039,499.228167,127.1657924,8.1,1,0.143086817
FL,Duval County,9656.63824,0.19448977,4.303862795,4.272032459,0.098371401,0.197901584,0.314,6.6,0.264,0.920785687,0.186986284,0.293029872,738.3,29.34717079,0.13234189,0.000860402,0.000820896,0.001958574,5911,0.41,0.43,0.797902098,0.658077301,0.035734784,0.218,4.450636263,0.423254179,8.817251534,654.1029019,96.19297231,8.5,0,0.183896112
FL,Escambia County,9782.517269,0.188263023,4.237461087,4.364583221,0.101608214,0.202458302,0.293,6.5,0.295,0.731992917,0.198242192,0.235294118,677.5,31.07839701,0.113831219,0.0006794,0.000668708,0.001911046,5292,0.37,0.37,0.798852635,0.676897279,0.03542375,0.244,3.866620083,0.383965455,9.026767715,659.7214438,80.3374428,9.9,0,0.126352546
FL,Flagler County,7549.703444,0.173068016,4.118021256,4.626722858,0.077087034,0.174275318,0.259,7.1,0.263,0.7543262,0.168353685,0.28440367,310.4,18.51054671,0.147215925,0.000506742,0.000339083,0.000553241,4514,0.51,0.46,0.810945274,0.610463959,0.040444378,0.184,3.816455201,0.373418412,6.153289295,242.6720679,78.33862707,7.5,0,0.165661861
FL,Franklin County,8765.344425,0.193781184,4.213379073,4.26267274,0.086036671,0.195230463,0.355,7.6,0.318,0.8835397,0.215143985,0.4,255.8,53.94470668,0.177259791,0.00025582,0.000255624,0.000681663,4514,0.36,0.32,0.790322581,0.384268214,0.034504132,0.366,5.334905137,0.343651626,9.380063102,267.6523069,89.92195453,9.1,1,0.161176471
FL,Gadsden County,9926.231702,0.258334651,4.777326764,4.698826104,0.120725934,0.203735945,0.428,6,0.354,0.597684796,0.147056118,0.343283582,837.8,40.1261418,0.163120162,0.000195351,0.000217893,0.001176624,6430,0.42,0.33,0.525641026,0.412278426,0.04572973,0.382,4.343558964,0.589239369,10.20164529,361.3650505,70.34669631,10.6,0,0.150429375
FL,Gilchrist County,8968.375038,0.211267572,4.763683703,4.847069001,0.076691729,0.212531577,0.377,7.9,0.359,0.224393412,0.185740177,0.407407407,259.3,36.90987125,0.155291266,0.000394522,0.000273883,0.000602542,6870,0.41,0.31,0.934131737,0.435613404,0.037560052,0.238,4.077918929,0.347080072,5.072422927,322.5238961,114.4073129,8.2,0,0.1254996
